id;province_id;name;created_at;updated_at
"11.05";11;Kab. Aceh Barat;;
"11.12";11;Kab. Aceh Barat Daya;;
"11.06";11;Kab. Aceh Besar;;
"11.14";11;Kab. Aceh Jaya;;
"11.01";11;Kab. Aceh Selatan;;
"11.1";11;Kab. Aceh Singkil;;
"11.16";11;Kab. Aceh Tamiang;;
"11.04";11;Kab. Aceh Tengah;;
"11.02";11;Kab. Aceh Tenggara;;
"11.03";11;Kab. Aceh Timur;;
"11.08";11;Kab. Aceh Utara;;
"11.17";11;Kab. Bener Meriah;;
"11.11";11;Kab. Bireuen;;
"11.13";11;Kab. Gayo Lues;;
"11.15";11;Kab. Nagan Raya;;
"11.07";11;Kab. Pidie;;
"11.18";11;Kab. Pidie Jaya;;
"11.09";11;Kab. Simeulue;;
"11.71";11;Kota Banda Aceh;;
"11.74";11;Kota Langsa;;
"11.73";11;Kota Lhokseumawe;;
"11.72";11;Kota Sabang;;
"11.75";11;Kota Subulussalam;;
"51.03";51;Kab. Badung;;
"51.06";51;Kab. Bangli;;
"51.08";51;Kab. Buleleng;;
"51.04";51;Kab. Gianyar;;
"51.01";51;Kab. Jembrana;;
"51.07";51;Kab. Karangasem;;
"51.05";51;Kab. Klungkung;;
"51.02";51;Kab. Tabanan;;
"51.71";51;Kota Denpasar;;
"36.02";36;Kab. Lebak;;
"36.01";36;Kab. Pandeglang;;
"36.04";36;Kab. Serang;;
"36.03";36;Kab. Tangerang;;
"36.72";36;Kota Cilegon;;
"36.73";36;Kota Serang;;
"36.71";36;Kota Tangerang;;
"36.74";36;Kota Tangerang Selatan;;
"17.01";17;Kab. Bengkulu Selatan;;
"17.09";17;Kab. Bengkulu Tengah;;
"17.03";17;Kab. Bengkulu Utara;;
"17.04";17;Kab. Kaur;;
"17.08";17;Kab. Kepahiang;;
"17.07";17;Kab. Lebong;;
"17.06";17;Kab. Muko Muko;;
"17.02";17;Kab. Rejang Lebong;;
"17.05";17;Kab. Seluma;;
"17.71";17;Kota Bengkulu;;
"34.02";34;Kab. Bantul;;
"34.03";34;Kab. Gunungkidul;;
