id;sub_district_id;name;postal_code;created_at;updated_at
"11.05.07.2001";11.05.07;Arongan;23652;;
"11.05.07.2002";11.05.07;Alue Bagok;23652;;
"11.05.07.2003";11.05.07;Alue Sundak;23652;;
"11.05.07.2004";11.05.07;Alue Batee;23652;;
"11.05.07.2005";11.05.07;Cot Buloh;23652;;
"11.05.07.2006";11.05.07;Cot Kumbang;23652;;
"11.05.07.2007";11.05.07;Cot Juru Mudi;23652;;
"11.05.07.2008";11.05.07;Drien Rampak;23652;;
"11.05.07.2009";11.05.07;Kubu;23652;;
"11.05.07.2010";11.05.07;Keub;23652;;
"11.05.07.2011";11.05.07;Pante Mutia;23652;;
"11.05.07.2012";11.05.07;Peuribu;23652;;
"11.05.07.2013";11.05.07;Panton Makmu;23652;;
"11.05.07.2014";11.05.07;Panton Bahagia;23652;;
"11.05.07.2015";11.05.07;Peulanteu Lb;23652;;
"11.05.07.2016";11.05.07;Rimba Langgeh;23652;;
"11.05.07.2017";11.05.07;Suak Keumudee;23652;;
"11.05.07.2018";11.05.07;Seuneubok Lhong;23652;;
"11.05.07.2019";11.05.07;Suak Ie Beuso;23652;;
"11.05.07.2020";11.05.07;Suak Bidok;23652;;
"11.05.07.2021";11.05.07;Simpang Peut;23652;;
"11.05.07.2022";11.05.07;Seuneubok Teungoh;23652;;
"11.05.07.2023";11.05.07;Teupin Peraho;23652;;
"11.05.07.2024";11.05.07;Ujong Beusa;23652;;
"11.05.07.2025";11.05.07;Ujong Simpang;23652;;
"11.05.07.2026";11.05.07;Gunong Pulo;23652;;
"11.05.07.2027";11.05.07;Karang Hampa;23652;;
"11.05.06.2001";11.05.06;Alue Lhok;23651;;
"11.05.06.2002";11.05.06;Alue Bakong;23651;;
"11.05.06.2003";11.05.06;Beurawang;23651;;
"11.05.06.2004";11.05.06;Blang Sibeutong;23651;;
"11.05.06.2005";11.05.06;Cot Keumuneng;23651;;
"11.05.06.2006";11.05.06;Cot Lada;23651;;
"11.05.06.2007";11.05.06;Gunong Panah;23651;;
"11.05.06.2008";11.05.06;Kuta Padang;23651;;
"11.05.06.2009";11.05.06;Kuala Pling;23651;;
"11.05.06.2010";11.05.06;Layung;23651;;
"11.05.06.2011";11.05.06;Liceh;23651;;
"11.05.06.2012";11.05.06;Peulanteu Sp;23651;;
"11.05.06.2013";11.05.06;Rambong;23651;;
"11.05.06.2014";11.05.06;Seumuleng;23651;;
"11.05.06.2015";11.05.06;Suak Pangkat;23651;;
"11.05.06.2016";11.05.06;Seuneubok Trap;23651;;
"11.05.06.2017";11.05.06;Ulee Blang;23651;;
"11.05.01.2001";11.05.01;Suak Indrapuri;23611;;
"11.05.01.2002";11.05.01;Kampung Belakang;23611;;
"11.05.01.2003";11.05.01;Ujong Kalak;23613;;
"11.05.01.2004";11.05.01;Kuta Padang;23614;;
"11.05.01.2005";11.05.01;Ujong Baroh;23615;;
"11.05.01.2006";11.05.01;Rundeng;23616;;
"11.05.01.2007";11.05.01;Drien Rampak;23617;;
"11.05.01.2008";11.05.01;Pasir;23611;;
"11.05.01.2009";11.05.01;Pasar Aceh;23612;;
"11.05.01.2010";11.05.01;Padang Seurahet;23611;;
"11.05.01.2011";11.05.01;Panggong;23612;;
"11.05.01.2012";11.05.01;Seuneubok;23611;;
"11.05.01.2013";11.05.01;Gampong Darat;23611;;
"11.05.01.2014";11.05.01;Gampa;23611;;
"11.05.01.2015";11.05.01;Lapang;23618;;
"11.05.01.2016";11.05.01;Blang Beurandang;23618;;
"11.05.01.2017";11.05.01;Suak Ribee;23611;;
"11.05.01.2018";11.05.01;Suak Raya;23611;;
"11.05.01.2019";11.05.01;Suak Nie;23611;;
"11.05.01.2020";11.05.01;Leuhan;23611;;
"11.05.01.2021";11.05.01;Suak Sigadeng;23611;;
"11.05.02.2001";11.05.02;Keude Aron;23681;;
"11.05.02.2002";11.05.02;Kampong Mesjid;23681;;
"11.05.02.2003";11.05.02;Padang Mancang;23681;;
"11.05.02.2004";11.05.02;Meunasah Buloh;23681;;
"11.05.02.2005";11.05.02;Alue Tampak;23681;;
"11.05.02.2006";11.05.02;Beureugang;23681;;
"11.05.02.2007";11.05.02;Marek;23681;;
